NAME,DATE,MAG,MAGERR,FILTER,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AIRMASS,GROUP,CHART,NOTES
V1432 AQL,2457673.5049826391,16.475,0.097,CV,NO,STD,120,12.293,150,15.389,1.624,NA,APASS,na
V1432 AQL,2457673.5050868057,16.630,0.108,CV,NO,STD,120,12.289,150,15.386,1.624,NA,APASS,na
V1432 AQL,2457673.5051793982,16.462,0.096,CV,NO,STD,120,12.305,150,15.416,1.624,NA,APASS,na
V1432 AQL,2457673.5052835648,16.661,0.116,CV,NO,STD,120,12.291,150,15.414,1.624,NA,APASS,na
V1432 AQL,2457673.5053761574,16.295,0.089,CV,NO,STD,120,12.307,150,15.386,1.624,NA,APASS,na
V1432 AQL,2457673.5054803239,16.375,0.090,CV,NO,STD,120,12.278,150,15.355,1.624,NA,APASS,na
V1432 AQL,2457673.5055844910,16.681,0.125,CV,NO,STD,120,12.357,150,15.420,1.624,NA,APASS,na
V1432 AQL,2457673.5057002315,16.602,0.108,CV,NO,STD,120,12.285,150,15.390,1.624,NA,APASS,na
V1432 AQL,2457673.5057928241,16.593,0.106,CV,NO,STD,120,12.283,150,15.344,1.624,NA,APASS,na
V1432 AQL,2457673.5058854166,16.496,0.098,CV,NO,STD,120,12.295,150,15.397,1.624,NA,APASS,na
V1432 AQL,2457673.5060011572,16.534,0.101,CV,NO,STD,120,12.302,150,15.370,1.624,NA,APASS,na
V1432 AQL,2457673.5060937498,16.703,0.120,CV,NO,STD,120,12.318,150,15.389,1.624,NA,APASS,na
V1432 AQL,2457673.5061863428,16.646,0.116,CV,NO,STD,120,12.354,150,15.423,1.624,NA,APASS,na
V1432 AQL,2457673.5062905094,16.481,0.095,CV,NO,STD,120,12.297,150,15.419,1.624,NA,APASS,na
V1432 AQL,2457673.5063946759,16.602,0.111,CV,NO,STD,120,12.305,150,15.423,1.624,NA,APASS,na
V1432 AQL,2457673.5064988425,16.576,0.101,CV,NO,STD,120,12.326,150,15.416,1.624,NA,APASS,na
V1432 AQL,2457673.5066030091,16.428,0.098,CV,NO,STD,120,12.298,150,15.412,1.624,NA,APASS,na
V1432 AQL,2457673.5066956021,16.500,0.099,CV,NO,STD,120,12.319,150,15.405,1.624,NA,APASS,na
V1432 AQL,2457673.5067881946,16.635,0.111,CV,NO,STD,120,12.291,150,15.373,1.624,NA,APASS,na
V1432 AQL,2457673.5069039352,16.569,0.102,CV,NO,STD,120,12.292,150,15.426,1.624,NA,APASS,na
V1432 AQL,2457673.5070081018,16.549,0.103,CV,NO,STD,120,12.283,150,15.351,1.624,NA,APASS,na
V1432 AQL,2457673.5071122684,16.696,0.112,CV,NO,STD,120,12.285,150,15.362,1.624,NA,APASS,na
V1432 AQL,2457673.5072164354,16.586,0.108,CV,NO,STD,120,12.338,150,15.388,1.624,NA,APASS,na
V1432 AQL,2457673.5073206020,16.578,0.104,CV,NO,STD,120,12.329,150,15.408,1.624,NA,APASS,na
V1432 AQL,2457673.5074247685,16.502,0.100,CV,NO,STD,120,12.331,150,15.426,1.624,NA,APASS,na
V1432 AQL,2457673.5075289351,16.591,0.112,CV,NO,STD,120,12.318,150,15.420,1.625,NA,APASS,na
V1432 AQL,2457673.5076331017,16.672,0.112,CV,NO,STD,120,12.321,150,15.421,1.625,NA,APASS,na
V1432 AQL,2457673.5077372687,16.667,0.119,CV,NO,STD,120,12.358,150,15.385,1.625,NA,APASS,na
V1432 AQL,2457673.5078298612,16.527,0.099,CV,NO,STD,120,12.322,150,15.357,1.625,NA,APASS,na
V1432 AQL,2457673.5079340278,16.542,0.105,CV,NO,STD,120,12.311,150,15.380,1.625,NA,APASS,na
V1432 AQL,2457673.5080381944,16.630,0.105,CV,NO,STD,120,12.289,150,15.375,1.625,NA,APASS,na
V1432 AQL,2457673.5081423610,16.895,0.135,CV,NO,STD,120,12.268,150,15.366,1.625,NA,APASS,na
V1432 AQL,2457673.5082465280,16.572,0.102,CV,NO,STD,120,12.334,150,15.431,1.625,NA,APASS,na
V1432 AQL,2457673.5083622686,16.687,0.118,CV,NO,STD,120,12.325,150,15.374,1.625,NA,APASS,na
V1432 AQL,2457673.5084664351,16.763,0.120,CV,NO,STD,120,12.331,150,15.434,1.625,NA,APASS,na
V1432 AQL,2457673.5085821757,16.626,0.109,CV,NO,STD,120,12.288,150,15.333,1.625,NA,APASS,na
V1432 AQL,2457673.5086863427,16.824,0.140,CV,NO,STD,120,12.339,150,15.429,1.625,NA,APASS,na
V1432 AQL,2457673.5087905093,16.822,0.124,CV,NO,STD,120,12.307,150,15.407,1.625,NA,APASS,na
V1432 AQL,2457673.5088831019,16.656,0.110,CV,NO,STD,120,12.313,150,15.421,1.625,NA,APASS,na
V1432 AQL,2457673.5089756944,16.783,0.130,CV,NO,STD,120,12.317,150,15.434,1.625,NA,APASS,na
V1432 AQL,2457673.5090914350,16.856,0.140,CV,NO,STD,120,12.347,150,15.456,1.625,NA,APASS,na
V1432 AQL,2457673.5091956020,16.613,0.119,CV,NO,STD,120,12.409,150,15.501,1.625,NA,APASS,na
V1432 AQL,2457673.5092997686,16.763,0.120,CV,NO,STD,120,12.321,150,15.391,1.626,NA,APASS,na
V1432 AQL,2457673.5093923612,16.666,0.115,CV,NO,STD,120,12.304,150,15.367,1.626,NA,APASS,na
V1432 AQL,2457673.5094965277,16.509,0.099,CV,NO,STD,120,12.323,150,15.382,1.626,NA,APASS,na
V1432 AQL,2457673.5096006943,16.736,0.117,CV,NO,STD,120,12.311,150,15.427,1.626,NA,APASS,na
V1432 AQL,2457673.5096932868,16.851,0.133,CV,NO,STD,120,12.300,150,15.387,1.626,NA,APASS,na
V1432 AQL,2457673.5098090279,16.667,0.114,CV,NO,STD,120,12.328,150,15.399,1.626,NA,APASS,na
V1432 AQL,2457673.5099131945,16.737,0.123,CV,NO,STD,120,12.325,150,15.422,1.626,NA,APASS,na
V1432 AQL,2457673.5100057870,16.655,0.109,CV,NO,STD,120,12.302,150,15.355,1.626,NA,APASS,na
V1432 AQL,2457673.5101215276,16.593,0.110,CV,NO,STD,120,12.345,150,15.409,1.626,NA,APASS,na
V1432 AQL,2457673.5102256946,16.731,0.115,CV,NO,STD,120,12.295,150,15.416,1.626,NA,APASS,na
V1432 AQL,2457673.5103414352,16.502,0.099,CV,NO,STD,120,12.301,150,15.369,1.626,NA,APASS,na
V1432 AQL,2457673.5104456018,16.698,0.109,CV,NO,STD,120,12.289,150,15.366,1.626,NA,APASS,na
